product_id,category,candidate_rank,match_tier,confidence,score,candidate_norm_key,candidate_alnum_key,candidate_path,candidate_source,candidate_group,candidate_ext
97D,crosses,1,fuzzy,medium,53,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,crosses_lockets,png
97D,crosses,2,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,crosses_lockets,png
97D,crosses,3,fuzzy,low,27,8ND,8ND,accessories_php/images/Crosses_and_Lockets/8ND.png,images,crosses_lockets,png
97D,crosses,4,fuzzy,low,27,7ND,7ND,accessories_php/images/Crosses_and_Lockets/7ND.png,images,crosses_lockets,png
97D,crosses,5,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,crosses_lockets,png
B38,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
B38,crosses,2,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,crosses_lockets,png
B38,crosses,3,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,crosses_lockets,png
10TGD,lockets,1,fuzzy,medium,64,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
10TGD,lockets,2,fuzzy,medium,64,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
10TGD,lockets,3,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
10TGD,lockets,4,fuzzy,low,48,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
10TGD,lockets,5,fuzzy,low,48,L7TGD,L7TGD,accessories_php/images/Crosses_and_Lockets/L7TGD.png,images,crosses_lockets,png
10TGE,lockets,1,fuzzy,medium,64,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
10TGE,lockets,2,fuzzy,medium,64,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
10TGE,lockets,3,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
10TGE,lockets,4,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
11TG,lockets,1,fuzzy,medium,60,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
11TG,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
11TG,lockets,3,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
11TG,lockets,4,fuzzy,low,40,L7TG,L7TG,accessories_php/images/Crosses_and_Lockets/L7TG.png,images,crosses_lockets,png
11TG,lockets,5,fuzzy,low,40,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,crosses_lockets,png
12TG,lockets,1,fuzzy,low,48,L26TG,L26TG,accessories_php/images/Crosses_and_Lockets/L26TG.png,images,crosses_lockets,png
12TG,lockets,2,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
12TG,lockets,3,fuzzy,low,40,L7TG,L7TG,accessories_php/images/Crosses_and_Lockets/L7TG.png,images,crosses_lockets,png
12TG,lockets,4,fuzzy,low,40,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,crosses_lockets,png
12TG,lockets,5,fuzzy,low,40,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
13TGA,lockets,1,fuzzy,medium,64,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
13TGA,lockets,2,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
13TGA,lockets,3,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
13TGA,lockets,4,fuzzy,low,48,L7TGA,L7TGA,accessories_php/images/Crosses_and_Lockets/L7TGA.png,images,crosses_lockets,png
13TGA,lockets,5,fuzzy,low,48,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,crosses_lockets,png
13TGD,lockets,1,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
13TGD,lockets,2,fuzzy,low,48,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,crosses_lockets,png
13TGD,lockets,3,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
13TGD,lockets,4,fuzzy,low,48,L7TGD,L7TGD,accessories_php/images/Crosses_and_Lockets/L7TGD.png,images,crosses_lockets,png
20TT,lockets,1,exact_alnum,high,90,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
20TT,lockets,2,fuzzy,low,40,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
29A,lockets,1,fuzzy,medium,53,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,crosses_lockets,png
29A,lockets,2,fuzzy,low,48,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
29A,lockets,3,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
29A,lockets,4,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
29A,lockets,5,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,crosses_lockets,png
29B,lockets,1,fuzzy,medium,53,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,crosses_lockets,png
29B,lockets,2,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,crosses_lockets,png
29B,lockets,3,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
29B,lockets,4,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
29B,lockets,5,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,crosses_lockets,png
29E,lockets,1,fuzzy,medium,53,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,crosses_lockets,png
29E,lockets,2,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
29E,lockets,3,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
29E,lockets,4,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,crosses_lockets,png
29E,lockets,5,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,crosses_lockets,png
29TGD,lockets,1,fuzzy,medium,64,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
29TGD,lockets,2,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
29TGD,lockets,3,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
29TGD,lockets,4,fuzzy,low,48,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
29TGD,lockets,5,fuzzy,low,48,L7TGD,L7TGD,accessories_php/images/Crosses_and_Lockets/L7TGD.png,images,crosses_lockets,png
29TGE,lockets,1,fuzzy,medium,64,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
29TGE,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
29TGE,lockets,3,fuzzy,low,48,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
29TGE,lockets,4,fuzzy,low,48,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
2LTG,lockets,1,fuzzy,medium,60,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
2LTG,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
2LTG,lockets,3,fuzzy,low,48,L26TG,L26TG,accessories_php/images/Crosses_and_Lockets/L26TG.png,images,crosses_lockets,png
2LTG,lockets,4,fuzzy,low,48,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
2LTG,lockets,5,fuzzy,low,40,L7TG,L7TG,accessories_php/images/Crosses_and_Lockets/L7TG.png,images,crosses_lockets,png
2TG,lockets,1,fuzzy,medium,60,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
2TG,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
2TG,lockets,3,fuzzy,low,48,L26TG,L26TG,accessories_php/images/Crosses_and_Lockets/L26TG.png,images,crosses_lockets,png
2TG,lockets,4,fuzzy,low,48,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
2TG,lockets,5,fuzzy,low,40,L7TG,L7TG,accessories_php/images/Crosses_and_Lockets/L7TG.png,images,crosses_lockets,png
