product_id,category,candidate_rank,match_tier,confidence,score,candidate_norm_key,candidate_alnum_key,candidate_path,candidate_source,candidate_ext
33E,crosses,3,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
33E,crosses,4,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
33E,crosses,5,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
34,crosses,1,fuzzy,medium,40,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
34,crosses,2,fuzzy,medium,40,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
34,crosses,3,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
34,crosses,4,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
34,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
34C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
34C,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
34C,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
34C,crosses,4,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
34C,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
35,crosses,1,fuzzy,medium,40,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
35,crosses,2,fuzzy,medium,40,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
35,crosses,3,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
35,crosses,4,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
35,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
35C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
35C,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
35C,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
35C,crosses,4,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
