product_id,product_name,old_subcategory,image_files,matched_folders,new_subcategory,action
F2560_Alt3,"Jewelry Item",,family_php/images/Mother/F2560_Alt3.png,,mother_daughter,keep
F2561,,,,,mother_daughter,keep
F2562,,,,,mother_daughter,keep
F2563,,,,,mother_daughter,keep
F2564,,,,,mother_daughter,keep
F2565,,,,,mother_daughter,keep
F2566,,,,,mother_daughter,keep
F2567,,,,,mother_daughter,keep
F2568,,,,,mother_daughter,keep
F2569,,,,,mother_daughter,keep
F2570,,,,,mother_daughter,keep
F2571,,,,,mother_daughter,keep
F2572,,,,,mother_daughter,keep
F2573,,,,,mother_daughter,keep
F2574,,,,,mother_daughter,keep
F2576,,,,,mother_daughter,keep
F2577,,,,,mother_daughter,keep
F2579_Alt1,"Jewelry Item",,family_php/images/Mother/F2579_Alt1.png,,mother_daughter,keep
F2579_Alt2,"Jewelry Item",,family_php/images/Mother/F2579_Alt2.png,,mother_daughter,keep
F2579_Alt3,"Jewelry Item",,family_php/images/Mother/F2579_Alt3.png,,mother_daughter,keep
F2579TTRW,"Galaxy Band",,family_php/images/Mother/F2579TTRW.png,,mother_daughter,keep
F2579TTRY,"Galaxy Band",,family_php/images/Mother/F2579TTRY.png,,mother_daughter,keep
F2579TTWR,"Galaxy Band",,family_php/images/Mother/F2579TTWR.png,,mother_daughter,keep
F2579TTWY,"Galaxy Band",,family_php/images/Mother/F2579TTWY.png,,mother_daughter,keep
F2579TTYR,"Galaxy Band",,family_php/images/Mother/F2579TTYR.png,,mother_daughter,keep
F2580,,,,,mother_daughter,keep
F2581,,,,,mother_daughter,keep
F2582,,,,,mother_daughter,keep
F2584_alt,"Jewelry Item",,family_php/thumbs/images/Mother/F2584_alt.png,,mother_daughter,keep
f2586_Alt3,"Jewelry Item",,family_php/images/Mother/f2586_Alt3.jpg,,mother_daughter,keep
F2591.1,"Jewelry Item",,family_php/thumbs/images/Mother/F2591.1.png,,mother_daughter,keep
F2593_Alt1,"Jewelry Item",,family_php/images/Mother/F2593_Alt1.png,,mother_daughter,keep
F2593_Alt2,"Jewelry Item",,family_php/images/Mother/F2593_Alt2.png,,mother_daughter,keep
f2593_Alt3,"Jewelry Item",,family_php/images/Mother/f2593_Alt3.jpg,,mother_daughter,keep
F2594TTRW,"Galaxy Band",,family_php/images/Mother/F2594TTRW.png,,mother_daughter,keep
F2594TTRY,"Galaxy Band",,family_php/images/Mother/F2594TTRY.png,,mother_daughter,keep
F2594TTWR,"Galaxy Band",,family_php/images/Mother/F2594TTWR.png,,mother_daughter,keep
F2594TTWY,"Galaxy Band",,family_php/images/Mother/F2594TTWY.png,,mother_daughter,keep
F2594TTYR,"Galaxy Band",,family_php/images/Mother/F2594TTYR.png,,mother_daughter,keep
F2595_Alt1,"Jewelry Item",,family_php/images/Mother/F2595_Alt1.png,,mother_daughter,keep
F2595_Alt2,"Jewelry Item",,family_php/images/Mother/F2595_Alt2.png,,mother_daughter,keep
F2595_Alt3,"Jewelry Item",,family_php/images/Mother/F2595_Alt3.png,,mother_daughter,keep
F2596_Alt1,"Jewelry Item",,family_php/images/Mother/F2596_Alt1.png,,mother_daughter,keep
F2596_Alt2,"Jewelry Item",,family_php/images/Mother/F2596_Alt2.png,,mother_daughter,keep
F2596_Alt3,"Jewelry Item",,family_php/images/Mother/F2596_Alt3.jpg,,mother_daughter,keep
F400T_Alt3,"Galaxy Band",,family_php/images/Daughter/F400T_Alt3.png,,mother_daughter,keep
F400T-2,"Galaxy Band",,family_php/thumbs/images/Mother/F400T-2.png,,mother_daughter,keep
F6T18FC,"Galaxy Band",,family_php/thumbs/images/Mother/F6T18FC.png,,mother_daughter,keep
F6T18FCM,,,,,mother_daughter,keep
F6TI8FCL,,,,,mother_daughter,keep
FC51,,,,,mother_daughter,keep
FC65,,,,,mother_daughter,keep
FC66,,,,,mother_daughter,keep
FFC41,"Jewelry Item",,family_php/thumbs/images/Father/FFC41.png,,mother_daughter,keep
FFC42,"Jewelry Item",,family_php/thumbs/images/Father/FFC42.png,,mother_daughter,keep
FPH,,,,,mother_daughter,keep
FPH8,,,,,mother_daughter,keep
fphh_altr1,"Jewelry Item",,family_php/thumbs/images/Mother/fphh_altr1.png,,mother_daughter,keep
FPO,,,,,mother_daughter,keep
FPT,,,,,mother_daughter,keep
FS32-2,"Jewelry Item",,family_php/thumbs/images/Father/FS32-2.png,,mother_daughter,keep
