1000L/10KW     |10KW WEDDING BAND       | 1089.25|  672.31|   0.00|  10.00|10K|  |  7.320|  662.31|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |W20|2|  0.000| 1089.25|20260305|00000000
1000L/10KY     |10KY WEDDING BAND       | 1121.75|  692.31|   0.00|  30.00|10K|  |  7.320|  662.31|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |    1 |      |      |      |      |      |      |      |      |      |50|  0.00|STER=52.25                    |UPDATED LAB. 2025       |W01|2|  0.000| 1121.75|20260305|00000000
1000L/14K      |14K WEDDING BAND        | 1713.25| 1057.56|   0.00|  10.00|14K|  |  8.270| 1047.56|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |W40|2|  0.000| 1713.25|20260305|00000000
1000L/18K      |18K WEDDING BAND        | 2565.00| 1583.25|   0.00|  10.00|18K|  |  9.660| 1573.25|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |W50|2|  0.000| 2565.00|20260305|00000000
1000L/STER     |STER WEDDING BAND       |   59.00|   36.31|   0.00|  10.00|STE|  |  0.000|    0.00|  6.295|  26.31|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|STER=52.25                    |                        |W01|2|  0.000|   59.00|20260305|00000000
1000M/10KW     |10KW WEDDING BAND       | 1335.50|  824.32|   0.00|  10.00|10K|  |  9.000|  814.32|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |W20|2|  0.000| 1335.50|20260305|00000000
1000M/10KY     |10KY WEDDING BAND       | 1335.50|  824.32|   0.00|  10.00|10K|  |  9.000|  814.32|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|STER=64.25                    |                        |W01|2|  0.000| 1335.50|20260305|00000000
1000M/14K      |14K WEDDING BAND        | 2068.50| 1276.72|   0.00|  10.00|14K|  | 10.000| 1266.72|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |W40|2|  0.000| 2068.50|20260305|00000000
1000M/18K      |18K WEDDING BAND        | 3021.50| 1865.01|   0.00|  10.00|18K|  | 11.390| 1855.01|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |W50|2|  0.000| 3021.50|20260305|00000000
1000M/STER     |STER WEDDING BAND       |   68.75|   42.35|   0.00|  10.00|STE|  |  0.000|    0.00|  7.740|  32.35|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |    1 |50|  0.00|STER=64.25                    |                        |W01|2|  0.000|   68.75|20260305|00000000
100A/GF        |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N90|8|  0.000|   27.25|20260305|00000000
100A/GFB       |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N90|8|  0.000|   24.50|20260305|00000000
100A/STER      |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N80|8|  0.000|   27.25|20260305|00000000
100A/STERB     |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N80|8|  0.000|   24.50|20260305|00000000
100C/GF        |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N90|8|  0.000|   27.25|20260305|00000000
100C/GFB       |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N90|8|  0.000|   24.50|20260305|00000000
100C/STER      |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.BOX.   |                        |N80|8|  0.000|   27.25|20260305|00000000
100C/STERB     |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.]      |                        |N80|8|  0.000|   24.50|20260305|00000000
100D/10K       |CROSS   BOXED (1X02)    |  260.25|  160.52|   1.33|   9.48|10K|  |  1.290|  116.71|  0.000|   0.00|  23.00|   0.00|  10.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |STONE PRICE ADJ. 2026   |N70|8|  0.000|  260.25|20260305|00000000
100D/10KB      |CROSS   ONLY (1X02)     |  257.75|  158.99|   0.00|   9.28|10K|  |  1.290|  116.71|  0.000|   0.00|  23.00|   0.00|  10.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N70|8|  0.000|  257.75|20260305|00000000
100E/10K       |CROSS   BOXED           |  206.75|  127.52|   3.86|   6.95|10K|  |  1.290|  116.71|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.BOX.   |                        |N70|8|  0.000|  206.75|20260305|00000000
100E/10KB      |CROSS   ONLY            |  204.25|  125.99|   2.53|   6.75|10K|  |  1.290|  116.71|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N70|8|  0.000|  204.25|20260305|00000000
100ED/10K      |CROSS ENGRAVED (1X02)BOX|  223.75|  138.02|   1.33|   9.48|10K|  |  1.290|  116.71|  0.000|   0.00|   8.00|   0.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT.,ENGR.,BOX  |                        |N70|8|  0.000|  223.75|20260305|00000000
100ED/10KB     |CROSS ONLY ENGRAVED 2X01|  221.25|  136.49|   0.00|   9.28|10K|  |  1.290|  116.71|  0.000|   0.00|   8.00|   0.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N70|8|  0.000|  221.25|20260305|00000000
100HD/10K      |CROSS   BOXED (1X02)    |  231.75|  143.02|   1.33|   9.48|10K|  |  1.290|  116.71|  0.000|   0.00|   8.00|   5.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |1X02 WITH HEAD.         |N70|8|  0.000|  231.75|20260305|00000000
